,submission_id,submission_state,education,employment_status,financial_situation,percentage,does_home_shows_severe_deficit_of_electricity,age,geography,do_children_3_and_17_yrs_receive_regular_school_meals,are_there_children_who_stopped_enrolling_in_primary_education,are_there_children_who_stopped_enrolling_in_secondary_education,are_there_teachers_at_scheduled_class_hours,are_children_attending_face_to_face_classes,are_children_being_teached_by_unqualified_people,gender,does_home_shows_severe_deficit_of_internet,do_school_and_the_teachers_have_internet_connection,do_children_have_internet_connection,were_children_3_to_17_yrs_enrolled_and_did_not_return_to_school,do_children_3_to_17_yrs_miss_class_or_in_lower_grade
0,4570534489882624,Miranda,9,I am unemployed,Better_situation,0.88,0,Over 45 years old,Suburban/Peri-urban,Every day,1,0,Irregularly,0,0,Female,0,1,1,1,0
1,6440166989496320,Miranda,9,I am unemployed,Bad_situation,0.88,0,26 to 35 years old,Suburban/Peri-urban,No,0,0,Irregularly,0,0,Male,0,0,1,1,0
2,5001167808757760,Miranda,9,"I work full-time, either as an employee or self-employed",Good_situation,0.88,1,26 to 35 years old,City center or metropolitan area,No,1,1,There are not enough,0,1,Female,0,0,1,1,0
3,5524933164924928,Miranda,9,"I work full-time, either as an employee or self-employed",Midium_situation,0.88,0,36 to 45 years old,Suburban/Peri-urban,No,0,0,There are enough,0,1,Male,0,0,1,0,0
4,5032515751641088,Miranda,9,I am unemployed,Better_situation,0.88,0,Over 45 years old,Suburban/Peri-urban,No,0,0,There are not enough,0,0,Female,0,0,1,1,0
5,5856891153678336,Miranda,7,"I work full-time, either as an employee or self-employed",Good_situation,0.88,0,36 to 45 years old,City center or metropolitan area,2 days,1,1,Irregularly,0,1,Female,0,1,0,0,0
6,4994446973468672,Miranda,9,"I do housework, fulfilling domestic tasks, looking after children",Better_situation,0.88,0,26 to 35 years old,Rural,Every day,0,0,There are not enough,0,0,Female,0,1,1,1,0
7,6295201927921664,Miranda,7,"I work part-time, either as an employee or self-employed",Bad_situation,0.88,0,Over 45 years old,Suburban/Peri-urban,No,0,0,There are not enough,0,0,Female,0,0,0,0,0
8,6354348190990336,Miranda,9,I am retired,Bad_situation,0.88,0,Over 45 years old,Rural,No,0,0,Irregularly,0,1,Female,0,1,0,0,0
9,5852928190709760,Sucre,9,"I work part-time, either as an employee or self-employed",Bad_situation,0.98,1,26 to 35 years old,City center or metropolitan area,2 days,0,0,There are enough,0,0,Male,0,1,1,1,0
10,4861050741850112,Distrito Federal,6,I am unemployed,Bad_situation,0.9,0,16 to 25 years old,Suburban/Peri-urban,No,1,1,There are not enough,1,1,Prefer not to answer,0,1,1,1,1
11,6109510828818432,Distrito Federal,9,I am unemployed,Better_situation,0.9,0,Over 45 years old,City center or metropolitan area,No,0,0,Irregularly,0,0,Female,0,0,0,0,1
12,6142303541657600,Distrito Federal,9,"I work full-time, either as an employee or self-employed",Better_situation,0.9,0,Over 45 years old,City center or metropolitan area,No,0,0,There are enough,0,0,Female,0,1,1,1,0
13,4828872444215296,Táchira,9,"I work full-time, either as an employee or self-employed",Good_situation,0.93,1,26 to 35 years old,City center or metropolitan area,No,0,0,Irregularly,0,0,Male,0,0,1,0,0
14,5241154944892928,Táchira,9,I am unemployed,Bad_situation,0.93,0,36 to 45 years old,Suburban/Peri-urban,No,0,0,Irregularly,0,0,Male,0,0,0,0,0
15,5281556880162816,Mérida,8,"I do housework, fulfilling domestic tasks, looking after children",Bad_situation,0.93,0,16 to 25 years old,Suburban/Peri-urban,No,0,0,Irregularly,0,1,Female,0,0,1,1,1
16,6154893936295936,Mérida,9,I am unemployed,Bad_situation,0.93,0,36 to 45 years old,Rural,No,0,0,There are not enough,0,0,Female,0,0,1,0,0
17,6084403976732672,Mérida,5,"I work part-time, either as an employee or self-employed",Bad_situation,0.93,0,26 to 35 years old,City center or metropolitan area,4 days,0,0,There are enough,0,1,Male,0,1,1,0,0
