,submission_id,submission_state,education,employment_status,percentage,financial_situation,age,are_children_attending_face_to_face_classes,does_home_shows_severe_deficit_of_electricity,do_children_3_and_17_yrs_receive_regular_school_meals,are_there_children_who_stopped_enrolling_in_primary_education,geography,are_there_teachers_at_scheduled_class_hours,are_there_children_who_stopped_enrolling_in_secondary_education,are_children_being_teached_by_unqualified_people,gender,does_home_shows_severe_deficit_of_internet,do_children_have_internet_connection,do_school_and_the_teachers_have_internet_connection,do_children_3_to_17_yrs_miss_virtual_class_due_to_lack_of_electricity,do_children_3_to_17_yrs_miss_class_or_in_lower_grade
0,4570534489882624,Miranda,9,I am unemployed,0.88,Better_situation,Over 45 years old,0,0,Every day,1,Suburban/Peri-urban,Irregularly,0,0,Female,0,1,1,0,0
1,6440166989496320,Miranda,9,I am unemployed,0.88,Bad_situation,26 to 35 years old,0,0,No,0,Suburban/Peri-urban,Irregularly,0,0,Male,0,1,0,1,0
2,5001167808757760,Miranda,9,"I work full-time, either as an employee or self-employed",0.88,Good_situation,26 to 35 years old,0,1,No,1,City center or metropolitan area,There are not enough,1,1,Female,0,1,0,0,0
4,5032515751641088,Miranda,9,I am unemployed,0.88,Better_situation,Over 45 years old,0,0,No,0,Suburban/Peri-urban,There are not enough,0,0,Female,0,1,0,1,0
6,4994446973468672,Miranda,9,"I do housework, fulfilling domestic tasks, looking after children",0.88,Better_situation,26 to 35 years old,0,0,Every day,0,Rural,There are not enough,0,0,Female,0,1,1,0,0
9,5852928190709760,Sucre,9,"I work part-time, either as an employee or self-employed",0.98,Bad_situation,26 to 35 years old,0,1,2 days,0,City center or metropolitan area,There are enough,0,0,Male,0,1,1,0,0
10,4861050741850112,Distrito Federal,6,I am unemployed,0.9,Bad_situation,16 to 25 years old,1,0,No,1,Suburban/Peri-urban,There are not enough,1,1,Prefer not to answer,0,1,1,0,1
12,6142303541657600,Distrito Federal,9,"I work full-time, either as an employee or self-employed",0.9,Better_situation,Over 45 years old,0,0,No,0,City center or metropolitan area,There are enough,0,0,Female,0,1,1,0,0
15,5281556880162816,Mérida,8,"I do housework, fulfilling domestic tasks, looking after children",0.93,Bad_situation,16 to 25 years old,0,0,No,0,Suburban/Peri-urban,Irregularly,0,1,Female,0,1,0,1,1
18,6728207176040448,Mérida,5,I am a student and I work part-time,0.93,Midium_situation,26 to 35 years old,0,0,No,0,Suburban/Peri-urban,Irregularly,0,0,Female,0,1,0,1,0
21,5873682026332160,Mérida,7,"I work part-time, either as an employee or self-employed",0.93,Better_situation,Over 45 years old,0,0,No,0,Rural,Irregularly,0,0,Female,0,1,0,1,0
23,5609529055379456,Distrito Federal,5,"I work part-time, either as an employee or self-employed",0.9,Good_situation,36 to 45 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,0,Male,0,1,0,0,0
24,5588256686342144,Distrito Federal,5,I am unemployed,0.9,Bad_situation,16 to 25 years old,0,0,No,1,Rural,There are not enough,0,0,Female,0,0,0,0,0
26,4708750463336448,Distrito Federal,8,"I work full-time, either as an employee or self-employed",0.9,Good_situation,26 to 35 years old,0,0,No,0,City center or metropolitan area,There are enough,0,0,Male,0,1,1,0,0
28,4603876622991360,Distrito Federal,7,"I work part-time, either as an employee or self-employed",0.9,Better_situation,36 to 45 years old,0,0,No,0,Rural,There are enough,0,0,Female,0,1,0,0,0
30,4628459472289792,Distrito Federal,9,"I work part-time, either as an employee or self-employed",0.9,Midium_situation,36 to 45 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,0,Female,0,0,0,0,0
33,6245696591364096,Distrito Federal,2,"I do housework, fulfilling domestic tasks, looking after children",0.9,Midium_situation,Over 45 years old,0,0,No,1,Rural,There are enough,1,0,Female,0,1,1,0,0
34,5997476137140224,Distrito Federal,7,I am a student and I work part-time,0.9,Bad_situation,26 to 35 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,0,Female,0,1,0,1,1
35,6194310663110656,Distrito Federal,7,"I work full-time, either as an employee or self-employed",0.9,Midium_situation,16 to 25 years old,1,0,2 days,0,Rural,There are enough,0,0,Female,0,1,1,1,0
36,4791643332149248,Distrito Federal,7,"I work full-time, either as an employee or self-employed",0.9,Good_situation,16 to 25 years old,0,0,No,0,Suburban/Peri-urban,Irregularly,0,0,Male,0,1,1,0,0
37,5970206248927232,Distrito Federal,9,"I work part-time, either as an employee or self-employed",0.9,Better_situation,36 to 45 years old,0,0,Every day,0,City center or metropolitan area,There are not enough,1,0,Male,0,1,0,1,0
39,5327166563942400,Distrito Federal,4,"I do housework, fulfilling domestic tasks, looking after children",0.9,Midium_situation,26 to 35 years old,1,0,No,0,Suburban/Peri-urban,There are enough,0,1,Female,0,1,1,0,0
40,5166632766013440,Distrito Federal,5,I am a student,0.9,Bad_situation,16 to 25 years old,0,0,No,0,Suburban/Peri-urban,Irregularly,1,1,Male,0,0,0,0,0
41,5250121561538560,Distrito Federal,5,"I work part-time, either as an employee or self-employed",0.9,Midium_situation,Over 45 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,1,Male,0,1,1,0,0
42,6245335747002368,Distrito Federal,5,I am a student,0.9,Bad_situation,26 to 35 years old,0,0,No,1,Rural,There are not enough,0,0,Female,0,0,0,1,0
43,5175651324919808,Distrito Federal,5,I am a student,0.9,Bad_situation,16 to 25 years old,1,0,No,0,City center or metropolitan area,Irregularly,0,0,Male,0,0,1,1,0
46,4690058497228800,Distrito Federal,7,I am unemployed,0.9,Midium_situation,26 to 35 years old,0,1,2 days,0,Suburban/Peri-urban,Irregularly,1,1,Female,0,0,0,0,0
50,6003573648523264,Distrito Federal,9,"I work part-time, either as an employee or self-employed",0.9,Better_situation,Over 45 years old,0,0,No,0,Suburban/Peri-urban,Irregularly,1,0,Female,0,1,1,1,0
51,4965366169337856,Distrito Federal,3,"I do housework, fulfilling domestic tasks, looking after children",0.9,Midium_situation,Over 45 years old,0,1,No,0,Suburban/Peri-urban,Irregularly,0,0,Female,0,1,1,1,0
52,5515801309478912,Distrito Federal,4,I am retired,0.9,Midium_situation,Over 45 years old,0,0,No,0,City center or metropolitan area,There are not enough,0,1,Female,0,1,0,1,0
